const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
1.0,3,250,0.5,9.397346665758904e-05,,1,PokerHand
1.0,3,250,0.55,9.397346665758904e-05,,1,PokerHand
0.5,3,100,0.5,4.681938631830094e-05,,1,PokerHand
0.5,3,100,0.55,4.6818804280815855e-05,,1,PokerHand
0.5,3,100,0.45,4.67963958376404e-05,,1,PokerHand
1.0,3,100,0.55,4.677887332028554e-05,,1,PokerHand
1.0,3,100,0.5,4.6433643399637e-05,,1,PokerHand
1.0,3,100,0.45,4.642432405324468e-05,,1,PokerHand
1.0,3,1000,0.55,0.0018511711832124,,1,Powersupply
1.0,3,1000,0.5,0.0018444882547532,,1,Powersupply
1.0,3,1000,0.45,0.0017709760417014,,1,Powersupply
1.0,2,1000,0.5,0.0017254106203884,,1,Powersupply
1.0,2,1000,0.45,0.0017193352308799,,1,Powersupply
0.5,3,500,0.45,0.0016999699268219,,1,Powersupply
0.5,3,500,0.5,0.0016957930965349,,1,Powersupply
0.5,3,500,0.55,0.0016916162662478,,1,Powersupply
1.0,2,1000,0.55,0.0016646567253043,,1,Powersupply
0.5,3,1000,0.45,0.0016403551672706,,1,Powersupply
1.0,2,500,0.45,0.0016306345440572,,1,Powersupply
0.5,3,1000,0.55,0.0015674504931697,,1,Powersupply
0.5,3,1000,0.5,0.0015674504931697,,1,Powersupply
1.0,2,500,0.5,0.0015526670453659,,1,Powersupply
1.0,2,500,0.55,0.0015237076887091,,1,Powersupply
0.5,2,500,0.45,0.0014795261061174,,1,Powersupply
1.0,3,500,0.45,0.0014779553323343,,1,Powersupply
0.5,2,500,0.5,0.0014758133680845,,1,Powersupply
1.0,3,500,0.5,0.0014573924755366,,1,Powersupply
1.0,3,500,0.55,0.0014548221184369,,1,Powersupply
0.5,2,500,0.55,0.0013829949172616,,1,Powersupply
0.5,2,1000,0.55,0.0012727941020118,,1,Powersupply
0.5,2,1000,0.45,0.0012272286806987,,1,Powersupply
0.5,2,1000,0.5,0.0012211532911903,,1,Powersupply
1.0,3,250,0.45,0.0010387595322531,,1,Powersupply
