n_reference_samples,recent_samples_proportion,threshold,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
500,0.1,0.6,0.1525378420824004,0.0009675832683242,5,Powersupply
500,1.0,0.7,0.1518762321649346,0.0003120290715388,5,Powersupply
125,0.5,0.7,0.1509406221806395,0.0023183357198552,5,Powersupply
125,0.5,0.8,0.1506198416145955,0.0023958088810168,5,Powersupply
500,0.1,0.8,0.1491028168543455,0.0036267896249865,5,Powersupply
500,0.5,0.8,0.145039596351121,0.00162389661114,5,Powersupply
250,1.0,0.8,0.1435626691616265,0.0007979735608241,5,Powersupply
125,0.1,0.7,0.1434624252347378,0.0026430960934557,5,Powersupply
250,0.1,0.6,0.1433154008086342,0.0038039161866785,5,Powersupply
125,1.0,0.6,0.1421458883282654,0.0022634566663271,5,Powersupply
125,1.0,0.8,0.141577839409229,0.0035289247866368,5,Powersupply
250,0.5,0.8,0.1393390583753801,0.0,5,Powersupply
50,0.5,0.7,0.1364186186386874,0.0043510047314934,5,Powersupply
50,1.0,0.7,0.1325625689176996,0.0035895009749046,5,Powersupply
125,0.5,0.6,0.1253917866809235,0.0044331799193378,5,Powersupply
50,0.5,0.6,0.1166371503993049,0.0016634653341525,5,Powersupply
125,0.1,0.6,0.1113309052026597,0.0011866668146177,5,Powersupply
50,1.0,0.6,0.1065993918535101,0.0005794334066653,5,Powersupply
50,0.1,0.7,0.0953453403281317,0.00250594223237,5,Powersupply
50,0.1,0.6,0.093915193637852,0.0035523080922921,5,Powersupply
